Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-2016-152156,08-11-2016,11-11-2016,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0,41.9136
CA-2016-152156,08-11-2016,11-11-2016,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0,219.582
US-2015-108966,11-10-2015,18-10-2015,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031
US-2015-108966,11-10-2015,18-10-2015,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164
CA-2017-114412,15-04-2017,20-04-2017,Standard Class,Andrew Allen,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432
CA-2016-161389,05-12-2016,10-12-2016,Standard Class,Irene Maddox,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922
US-2015-118983,22-11-2015,26-11-2015,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816
CA-2016-137330,09-12-2016,13-12-2016,Standard Class,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0,5.0596
US-2017-156909,16-07-2017,18-07-2017,Second Class,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196
CA-2015-106320,25-09-2015,30-09-2015,Standard Class,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,0,240.2649
CA-2016-121755,16-01-2016,20-01-2016,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224
CA-2016-121755,16-01-2016,20-01-2016,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,0,11.7741
